Date,Open,High,Low,Close,Adj Close,Volume
2023-05-11,506.0,506.0,498.5,499.0,493.92010498046875,13382927
2023-05-12,496.0,500.0,495.0,496.0,490.9506530761719,18465362
2023-05-15,497.0,499.5,494.5,495.5,490.45574951171875,13315766
2023-05-16,503.0,508.0,500.0,505.0,499.8590393066406,21140315
2023-05-17,508.0,521.0,506.0,519.0,513.7164916992188,41406763
2023-05-18,533.0,536.0,526.0,530.0,524.6044921875,43096277
2023-05-19,535.0,535.0,529.0,532.0,526.5841674804688,32099068
2023-05-22,532.0,533.0,529.0,531.0,525.5943603515625,17208135
2023-05-23,530.0,531.0,525.0,530.0,524.6044921875,19588873
2023-05-24,527.0,528.0,524.0,525.0,519.6553955078125,19086681
2023-05-25,542.0,545.0,537.0,543.0,537.47216796875,63827245
2023-05-26,568.0,568.0,563.0,566.0,560.238037109375,95808471
2023-05-29,574.0,574.0,564.0,568.0,562.2177124023438,54657853
2023-05-30,566.0,568.0,563.0,566.0,560.238037109375,40136130
2023-05-31,560.0,562.0,551.0,558.0,552.3194580078125,81176782
2023-06-01,550.0,554.0,550.0,551.0,545.3907470703125,24477529
2023-06-02,559.0,564.0,557.0,562.0,556.2787475585938,30206141
2023-06-05,560.0,560.0,555.0,555.0,549.3499755859375,16827391
2023-06-06,554.0,562.0,553.0,560.0,554.2991333007812,20228086
2023-06-07,561.0,568.0,560.0,568.0,562.2177124023438,27604813
2023-06-08,562.0,568.0,555.0,559.0,553.309326171875,23080195
2023-06-09,561.0,566.0,561.0,565.0,559.2482299804688,19091713
2023-06-12,574.0,574.0,571.0,574.0,568.1566162109375,26392389
2023-06-13,593.0,594.0,589.0,593.0,586.9631958007812,56174363
2023-06-14,590.0,591.0,587.0,590.0,583.9937133789062,23583314
2023-06-15,590.0,593.0,587.0,591.0,587.7227783203125,27392154
2023-06-16,590.0,590.0,584.0,589.0,585.7338256835938,38128802
2023-06-19,583.0,585.0,582.0,583.0,579.76708984375,14346885
2023-06-20,579.0,585.0,579.0,583.0,579.76708984375,16221413
2023-06-21,582.0,585.0,578.0,581.0,577.7781982421875,21703937
2023-06-26,576.0,578.0,574.0,574.0,570.8170166015625,27142262
2023-06-27,570.0,575.0,569.0,572.0,568.828125,21501718
2023-06-28,579.0,579.0,571.0,574.0,570.8170166015625,18175426
2023-06-29,578.0,580.0,570.0,573.0,569.8225708007812,16937929
2023-06-30,570.0,576.0,568.0,576.0,572.805908203125,22654976
2023-07-03,578.0,580.0,576.0,579.0,575.789306640625,14785585
2023-07-04,585.0,585.0,580.0,585.0,581.7560424804688,17219541
2023-07-05,589.0,589.0,579.0,582.0,578.7726440429688,14913592
2023-07-06,573.0,574.0,565.0,565.0,561.866943359375,28564891
2023-07-07,565.0,572.0,563.0,565.0,561.866943359375,18796190
2023-07-10,567.0,573.0,565.0,565.0,561.866943359375,18454982
2023-07-11,574.0,577.0,570.0,577.0,573.8004150390625,17850636
2023-07-12,574.0,578.0,572.0,578.0,574.7948608398438,15588228
2023-07-13,587.0,590.0,585.0,585.0,581.7560424804688,25442137
2023-07-14,589.0,591.0,587.0,591.0,587.7227783203125,23121873
2023-07-17,588.0,591.0,587.0,591.0,587.7227783203125,13807834
2023-07-18,587.0,588.0,580.0,581.0,577.7781982421875,20932006
2023-07-19,584.0,587.0,579.0,581.0,577.7781982421875,22499123
2023-07-20,580.0,584.0,578.0,579.0,575.789306640625,15108109
2023-07-21,560.0,563.0,557.0,560.0,556.8946533203125,46711021
2023-07-24,557.0,563.0,557.0,558.0,554.90576171875,25268835
2023-07-25,561.0,569.0,561.0,569.0,565.8447265625,19590349
2023-07-26,569.0,571.0,563.0,566.0,562.8613891601562,13314305
2023-07-27,570.0,570.0,566.0,569.0,565.8447265625,12200358
2023-07-28,569.0,573.0,565.0,567.0,563.8558349609375,18540078
2023-07-31,575.0,575.0,560.0,565.0,561.866943359375,24208467
2023-08-01,565.0,568.0,564.0,567.0,563.8558349609375,16259643
2023-08-02,567.0,569.0,558.0,561.0,557.8890991210938,25583234
2023-08-04,556.0,560.0,552.0,554.0,550.9279174804688,26279173
2023-08-07,558.0,561.0,556.0,558.0,554.90576171875,14369551
2023-08-08,558.0,558.0,551.0,552.0,548.9390258789062,19010690
2023-08-09,550.0,557.0,550.0,554.0,550.9279174804688,14389090
2023-08-10,552.0,554.0,550.0,551.0,547.944580078125,17892615
2023-08-11,556.0,558.0,546.0,546.0,542.9722900390625,17608427
2023-08-14,540.0,543.0,537.0,541.0,538.0,20939030
2023-08-15,543.0,545.0,540.0,542.0,538.9944458007812,14066307
2023-08-16,541.0,543.0,536.0,542.0,538.9944458007812,28269840
2023-08-17,540.0,546.0,537.0,544.0,540.9833984375,22843138
2023-08-18,540.0,544.0,539.0,539.0,536.0111083984375,17592345
2023-08-21,544.0,544.0,534.0,537.0,534.022216796875,16633821
2023-08-22,544.0,544.0,538.0,541.0,538.0,14594304
2023-08-23,546.0,552.0,544.0,552.0,548.9390258789062,20636332
2023-08-24,563.0,564.0,558.0,564.0,560.8724975585938,23280827
2023-08-25,549.0,551.0,546.0,546.0,542.9722900390625,24144537
2023-08-28,547.0,553.0,547.0,549.0,545.9556274414062,8991985
2023-08-29,551.0,553.0,546.0,552.0,548.9390258789062,10516678
2023-08-30,558.0,560.0,554.0,555.0,551.92236328125,15117416
2023-08-31,553.0,556.0,548.0,549.0,545.9556274414062,40431378
2023-09-01,543.0,553.0,543.0,548.0,544.961181640625,13669766
2023-09-04,549.0,557.0,549.0,557.0,553.9113159179688,9531157
2023-09-05,553.0,555.0,550.0,552.0,548.9390258789062,12220686
2023-09-06,556.0,556.0,550.0,550.0,546.9501342773438,14067008
2023-09-07,546.0,548.0,542.0,542.0,538.9944458007812,20717005
2023-09-08,535.0,540.0,535.0,539.0,536.0111083984375,15283568
2023-09-11,539.0,540.0,536.0,536.0,533.0277709960938,14631968
2023-09-12,536.0,545.0,536.0,544.0,540.9833984375,16028336
2023-09-13,545.0,548.0,541.0,541.0,538.0,16191392
2023-09-14,544.0,550.0,543.0,550.0,550.0,17144287
2023-09-15,549.0,558.0,547.0,558.0,558.0,42517441
2023-09-18,548.0,549.0,540.0,540.0,540.0,36684692
2023-09-19,539.0,543.0,538.0,538.0,538.0,18901683
2023-09-20,536.0,538.0,535.0,535.0,535.0,24635567
2023-09-21,530.0,531.0,526.0,527.0,527.0,32012694
2023-09-22,523.0,525.0,522.0,522.0,522.0,29049309
2023-09-25,522.0,529.0,522.0,525.0,525.0,17116402
2023-09-26,521.0,524.0,519.0,519.0,519.0,26392692
2023-09-27,517.0,523.0,516.0,522.0,522.0,16846401
2023-09-28,523.0,525.0,520.0,523.0,523.0,19733331
2023-10-02,530.0,534.0,528.0,533.0,533.0,25427911
2023-10-03,528.0,533.0,528.0,529.0,529.0,14490129
2023-10-04,521.0,523.0,519.0,520.0,520.0,28358964
2023-10-05,523.0,529.0,523.0,528.0,528.0,24945684
2023-10-06,530.0,533.0,529.0,532.0,532.0,15336587
2023-10-11,542.0,544.0,540.0,544.0,544.0,46639969
2023-10-12,545.0,550.0,544.0,550.0,550.0,34161176
2023-10-13,550.0,554.0,548.0,553.0,553.0,31123496
2023-10-16,546.0,547.0,542.0,545.0,545.0,19875676
2023-10-17,550.0,552.0,548.0,551.0,551.0,18967999
